"site","Year","Julian","nObs","NowPrDay"
"MWoolf_east",2019,187,48,28
"MWoolf_east",2019,189,48,39
"MWoolf_east",2019,221,50,21
"MWoolf_east",2019,225,43,83
"MWoolf_east",2019,226,42,55
"MWoolf_east",2019,228,49,62
"MWoolf_east",2019,229,46,45
"MWoolf_east",2019,230,48,94
"MWoolf_east",2019,234,46,23
"MWoolf_east",2019,235,48,22
"MWoolf_west",2019,145,24,60
"MWoolf_west",2019,148,25,71
"MWoolf_west",2019,149,25,50
"MWoolf_west",2019,150,25,27
"MWoolf_west",2019,187,47,30
"MWoolf_west",2019,189,49,40
"MWoolf_west",2019,190,50,35
"MWoolf_west",2019,194,48,30
"MWoolf_west",2019,196,49,32
"MWoolf_west",2019,204,49,20
"MWoolf_west",2019,235,51,34
"MWoolf_west",2019,250,48,57
"MWoolf_west",2019,252,45,25
"MWoolf_west",2019,257,47,35
"MWoolf_west",2019,264,47,27
"MWoolf_west",2019,265,48,66
"MWoolf_west",2019,268,49,54
"MWoolf_west",2019,269,45,62
"MWoolf_west",2019,299,48,38
"Perez",2019,190,51,21
"Perez",2019,191,49,24
"Perez",2019,230,49,29
"Perez",2019,232,49,25
"usda",2019,266,49,20
