"site","Julian","nObs","NowPrDay"
"MWoolf_east",187,48,28
"MWoolf_east",189,48,39
"MWoolf_east",221,50,21
"MWoolf_east",225,43,83
"MWoolf_east",226,42,55
"MWoolf_east",228,49,62
"MWoolf_east",229,46,45
"MWoolf_east",230,48,94
"MWoolf_east",234,46,23
"MWoolf_east",235,48,22
"MWoolf_west",145,24,60
"MWoolf_west",148,25,71
"MWoolf_west",149,25,50
"MWoolf_west",150,25,27
"MWoolf_west",187,47,30
"MWoolf_west",189,49,40
"MWoolf_west",190,50,35
"MWoolf_west",194,48,30
"MWoolf_west",196,49,32
"MWoolf_west",204,49,20
"MWoolf_west",235,51,34
"MWoolf_west",250,48,57
"MWoolf_west",252,45,25
"MWoolf_west",257,47,35
"MWoolf_west",264,47,27
"MWoolf_west",265,48,66
"MWoolf_west",268,49,54
"MWoolf_west",269,45,62
"MWoolf_west",299,48,38
"Perez",190,51,21
"Perez",191,49,24
"Perez",230,49,29
"Perez",232,49,25
"usda",266,49,20
